query data method label
2502111430 2466975755 4 0
2437172434 2439032953 0 1
2492080603 2491290222 0 1
2385007697 2388249319 0 1
2502886186 2499245610 4 1
2502886496 2502746313 4 1
2503107292 2491770966 4 1
1995751254 1970459913 4 0
2557210622 1927449303 0 1
2086342861 2078064274 4 0
2080516845 2058052612 4 0
2089663214 2063583130 4 0
2672337102 2672312552 4 1
2672336734 2669673935 4 1
2672336675 2670477564 4 1
2672336303 2669427655 4 1
2672336001 2671696966 4 1
2672335934 2672329718 4 1
2672335412 2672138535 4 1
2672335094 2667452139 4 1
2672333798 2649052013 4 1
2672333759 2652837338 4 1
2672333267 2665232908 4 0
2672332489 2666745557 4 0
2672467403 2666082438 4 1
2672467308 2648192071 4 1
2672467105 2654891180 4 1
2672473900 2619512731 3 1
2672472883 2671888889 3 1
2672471496 2671126279 4 1
2672469005 2670434917 3 1
2672497650 2668604814 3 1
2672496762 2670938800 4 1
2621529532 2617172232 4 0
2621527437 2589960089 4 0
2621527360 2403768037 4 0
2621527346 2621523325 4 1
2621522896 2621009252 4 0
2621522534 2222661431 4 0
2672494536 2672457465 3 1
2672494366 2672419770 3 1
2672492676 2672009145 3 1
2672493936 2665994946 4 1
2672491060 2663107850 4 1
2672488256 2671453987 3 1
2672488275 2636888801 4 1
2672572519 2668706417 4 1
2672576222 2665257825 3 1
2672574627 2672469473 4 1
2672573570 2672298070 3 1
2672571914 2672111380 3 1
2672571181 2522600229 3 1
2672586508 2670528327 3 1
2672584938 2670033053 3 1
2672584620 2668945240 3 1
2672582649 2664299130 4 1
2672583334 2672234627 4 1
2672604386 2668618901 4 1
2672601616 2667316229 3 1
2672599576 2669882778 3 1
2672673824 2603533378 3 1
2672671677 2672671170 4 1
2672670172 2659399089 3 1
2672666713 2670375593 4 1
2672689603 2670194256 3 1
2672688061 2668279664 4 1
2672688039 2662092520 3 1
2672685984 2667033610 3 1
2672685626 2665287235 3 1
2672683801 2672642663 3 1
2672707155 2672174361 4 1
2672703662 2661307730 3 1
2672700165 2672480916 4 1
2672714917 2665455029 4 1
2672713767 2617000986 3 1
2672711995 2634029313 3 1
2672710238 2672707714 3 1
2672708563 2671491392 3 1
2672741464 2671237118 3 1
2672741956 2669525903 3 1
2672746505 2661645506 3 1
2672747472 2670532585 4 1
2672738251 2665836379 3 1
2672738551 2670209747 3 0
2672739752 2671472625 3 1
2673384368 2656840269 4 1
2672733725 2625625239 3 1
2673190939 2670100545 3 1
2673181856 2667395735 3 1
2673197115 2671838858 3 1
2673128029 2500937745 3 1
2673126822 2667594703 3 1
2673121731 2673118256 3 1
2673030971 2662575208 3 0
2673458061 2672316439 3 1
2673434902 2668396367 3 1
2673436760 2673257838 3 1
2673427826 2672939648 3 0
2673426626 2667580449 3 1
2673510258 2091338953 4 1
2673509880 2644311188 4 1
2673509959 2651693380 4 1
2621530118 2143305398 4 1
2673573452 2673368536 4 0
2673573386 2667250099 4 1
2673572917 2656022305 4 0
2673572137 2672571998 4 2
2673572090 2664473837 4 1
2673571864 2671784547 4 1
2673571568 2659753983 4 0
2673571444 2664659460 4 0
2673570822 2656340268 4 1
2673570711 2670358891 4 1
2673570613 2665497706 4 1
2673569236 2669500355 4 1
2673569226 2667862412 4 1
2673569182 2673165176 4 1
2673568425 2673382808 4 1
2673568341 2671698507 4 1
2673567938 2665176400 4 0
2673566861 2671462635 4 1
2673566812 2663524001 4 0
2673565971 2672169621 4 1
2673565798 2666098027 4 1
2673565516 2673323769 4 1
2673565147 2662050924 4 1
2673563292 2653756772 4 1
2673562682 2671929152 4 1
2673561782 2658444677 4 0
2673560671 2668240476 4 0
2673560633 2666352494 4 0
2673559878 2673281346 4 1
2673559734 2667856548 4 0
2673558595 2658240609 4 0
2673558552 2654714783 4 1
2673557866 2669760262 4 1
2673556558 2665534847 4 1
2673556096 2668573647 4 1
2673554257 2653611094 4 1
2673551931 2655739070 4 1
2673551670 2658948046 4 1
2673551450 2663212516 4 1
2673549533 2664277228 4 1
2673549461 2666961206 4 1
2673549440 2672876387 4 0
2673548058 2651142543 4 1
2673547552 2668581932 4 0
2605378228 2600729059 4 1
2605375030 2605312021 4 1
2605374946 2604309919 4 3
2605373471 2597701562 4 0
2605372671 2605355255 4 1
2655494791 2611432003 0 0
2665357743 2629407897 0 0
2537971733 2519560611 0 0
2390008030 2388691876 0 0
2661687841 2644701534 0 0
2576809060 2569939586 0 0
2673970918 2669972719 3 1
2673970200 2550146385 3 1
2673992107 2673974286 5 1
2673991688 2673988396 5 1
2673991415 2673789668 5 1
2674010534 2659228493 5 1
2674033335 2670325821 4 1
2674033246 1380853320 4 1
2674033213 2673844105 4 1
2674053370 2668990343 4 1
2674052457 2673588867 4 1
2674051665 2673214529 4 1
2674050678 2672964690 4 1
2674050518 2660538492 4 0
2674049193 2653470778 4 1
2674048200 2663043821 4 1
2674047647 2657306756 4 1
2674047279 2664067421 4 0
2674047019 2673730164 4 1
2674046019 2655782622 4 0
2674045749 2661817288 4 1
2674044813 2670047009 4 0
2674043909 2670719454 4 1
2674043840 2661061064 4 1
2674042411 2671603086 4 1
2674042211 2660478480 4 1
2674042014 2669429948 4 0
2674039762 2659325736 4 1
2674039710 2655854831 4 0
2674039705 2658874271 4 1
2674171805 2670451562 4 1
2674168891 2655100134 4 0
2674168680 2658727741 4 1
2674166865 2655954962 4 1
2674165327 2673377058 4 1
2674164863 2673080585 4 1
2674164275 2670667155 4 1
2674164248 2672573768 4 1
2674164149 2673708370 4 1
2674164008 2672138138 4 1
2674163475 2664076703 4 1
2238732697 2241413460 4 0
2677356956 2657324899 4 1
2241413617 2237730114 0 0
2227108021 2227073823 0 1
2227162025 2226932724 4 1
2226788985 2226281595 4 1
2226754648 2226746363 4 1
2227209016 2226571124 4 1
2226910763 2226388176 4 1
2226793170 2226102702 4 1
2224802043 2224706911 4 1
2677911779 2668297123 3 1
2677958274 2667543034 4 1
2677961761 2677772332 3 1
2677960424 2677762045 3 1
2677957249 2670062300 4 1
2677972127 2194274771 3 1
2677963753 2672264054 4 1
2677992813 2677644122 4 1
2677992625 2667920886 4 1
2677992461 2677622833 4 1
2677991349 2658610875 4 0
2677988708 2670473198 4 1
2677987791 2674666990 4 1
2677987748 2660506180 4 1
2677986685 2675497473 4 1
2677986529 2674250086 4 1
2677986368 2656370848 4 1
2677985813 2677114930 4 1
2677984300 2657567593 4 1
2678083335 2671350017 4 1
2678083226 2654710880 4 0
2678082868 2651801160 4 1
2678082553 2675121600 4 1
2678082238 2659235120 4 1
2678081334 2677242269 4 1
2678080903 2674083859 4 1
2678080358 2648060870 4 0
2678080122 2648900155 4 0
2678079285 2649602013 4 0
2678079051 2666742757 4 1
2686159283 2683593524 4 1
2686158966 2662288638 4 1
2686157768 2683875738 4 1
2686157409 2675873182 4 0
2686157217 2667226319 4 1
2686157198 2677495443 4 0
2686155078 2665272362 4 1
2686154986 2684179644 4 1
2686154867 2679006945 4 2
2686153860 2672509125 4 1
2686153575 2657948031 4 1
2686153157 2666409216 4 1
2686152569 2671239588 4 1
2686152306 2665077689 4 1
2686152171 2672351272 4 0
2225908914 2226036374 4 0
2226655009 2225486242 0 0
2226867193 2224422864 0 0
2225843804 2223580770 0 0
2226437657 2222164128 0 0
2225672380 2222075379 0 0
2212670097 2226224363 0 0
2226672408 2210969774 0 0
2225976863 2209891859 0 0
2227059503 2206857101 0 0
2226438166 2202424359 0 0
2225502772 2195882384 0 0
2241411474 1963591419 0 0
2226636802 1778117913 0 0
2226835932 2226806424 4 1
2226788985 2226281595 4 1
2226704459 2226499816 2 1
2686447282 2686377769 3 1
2686446466 2684250049 3 1
2686456617 2677573705 3 1
2686454450 2678787934 3 1
2686464248 2526433596 3 1
2686462543 2685474008 4 1
2686442364 2676728291 3 1
2686429773 2554362363 3 1
2686428681 2335967827 3 1
2686426909 2686399960 3 1
2686424387 2664586055 3 1
2686515384 2685982114 3 1
2686513056 2685397500 3 1
2686514432 2684948385 3 1
2686514321 2675951525 3 1
2686514147 2678585469 3 1
2686512058 2269706724 3 1
2686531077 2675272025 3 1
2686529451 2678703840 3 1
2686526598 2677179873 3 1
2686525411 2677517440 3 1
2686525134 2677713546 4 1
2686524406 2684345642 4 1
2686523510 2675445059 3 0
2686564512 2685986025 3 1
2686564233 2683382646 3 1
